1.1;АБЛАНИЦА;с.АБЛАНИЦА;Ливада;VIII;4.981;РД-06-9/ 19.01.2012;
1.2;АБЛАНИЦА;с.АБЛАНИЦА;Ливада;VIII;2.027;РД-06-9/ 19.01.2012;
1.3;АБЛАНИЦА;с.АБЛАНИЦА;Ливада;VIII;1.463;РД-06-9/ 19.01.2012;
1.4;АБЛАНИЦА;с.АБЛАНИЦА;Ливада;VIII;1.49;РД-06-9/ 19.01.2012;
1.5;АБЛАНИЦА;с.АБЛАНИЦА;Ливада;VIII;1.493;РД-06-9/ 19.01.2012;
1.6;АБЛАНИЦА;с.АБЛАНИЦА;Ливада;VIII;1.383;РД-06-9/ 19.01.2012;
1.7;АБЛАНИЦА;с.АБЛАНИЦА;Ливада;IX;2.755;РД-06-9/ 19.01.2012;
1.8;АБЛАНИЦА;с.АБЛАНИЦА;Ливада;VIII;1.39;РД-06-9/ 19.01.2012;
1.9;АБЛАНИЦА;с.АБЛАНИЦА;Ливада;VIII;0.797;РД-06-9/ 19.01.2012;
1.10;АБЛАНИЦА;с.АБЛАНИЦА;Ливада;VIII;0.883;РД-06-9/ 19.01.2012;
1.12;АБЛАНИЦА;с.АБЛАНИЦА;Ливада;VIII;1.475;РД-06-9/ 19.01.2012;
1.13;АБЛАНИЦА;с.АБЛАНИЦА;Ливада;VIII;2.479;РД-06-9/ 19.01.2012;
1.15;АБЛАНИЦА;с.АБЛАНИЦА;Природна забележителност;;0.139;    1;
1.16;АБЛАНИЦА;с.АБЛАНИЦА;Пасище;VIII;4.084;РД-06-9/ 19.01.2012;
1.18;АБЛАНИЦА;с.АБЛАНИЦА;Ливада;VIII;1.494;РД-06-9/ 19.01.2012;
1.19;АБЛАНИЦА;с.АБЛАНИЦА;Ливада;VIII;1.501;РД-06-9/ 19.01.2012;
2.1;АБЛАНИЦА;с.АБЛАНИЦА;Нива;VIII;0.565;РД-06-9/ 19.01.2012;
2.2;АБЛАНИЦА;с.АБЛАНИЦА;Ливада;VIII;1.153;РД-06-9/ 19.01.2012;
2.3;АБЛАНИЦА;с.АБЛАНИЦА;Ливада;VIII;0.702;РД-06-9/ 19.01.2012;
2.4;АБЛАНИЦА;с.АБЛАНИЦА;Ливада;VIII;0.361;РД-06-9/ 19.01.2012;
2.5;АБЛАНИЦА;с.АБЛАНИЦА;Ливада;VIII;0.394;РД-06-9/ 19.01.2012;
2.6;АБЛАНИЦА;с.АБЛАНИЦА;Ливада;VIII;0.282;РД-06-9/ 19.01.2012;
2.7;АБЛАНИЦА;с.АБЛАНИЦА;Ливада;VIII;0.861;РД-06-9/ 19.01.2012;
2.8;АБЛАНИЦА;с.АБЛАНИЦА;Ливада;VIII;0.647;РД-06-9/ 19.01.2012;
2.9;АБЛАНИЦА;с.АБЛАНИЦА;Ливада;VIII;0.737;РД-06-9/ 19.01.2012;
2.10;АБЛАНИЦА;с.АБЛАНИЦА;Ливада;VIII;0.75;РД-06-9/ 19.01.2012;
2.12;АБЛАНИЦА;с.АБЛАНИЦА;Ливада;VIII;0.491;РД-06-9/ 19.01.2012;
2.13;АБЛАНИЦА;с.АБЛАНИЦА;Ливада;VIII;0.856;РД-06-9/ 19.01.2012;
2.14;АБЛАНИЦА;с.АБЛАНИЦА;Ливада;VIII;1.063;РД-06-9/ 19.01.2012;
2.15;АБЛАНИЦА;с.АБЛАНИЦА;Нива;VIII;3.18;РД-06-9/ 19.01.2012;
2.19;АБЛАНИЦА;с.АБЛАНИЦА;Гробищен парк;;1.604;    1;
2.20;АБЛАНИЦА;с.АБЛАНИЦА;Ливада;VIII;1.763;РД-06-9/ 19.01.2012;
2.22;АБЛАНИЦА;с.АБЛАНИЦА;Ливада;VIII;6.814;РД-06-9/ 19.01.2012;
2.23;АБЛАНИЦА;с.АБЛАНИЦА;Ливада;VIII;7.531;РД-06-9/ 19.01.2012;
2.24;АБЛАНИЦА;с.АБЛАНИЦА;Пасище;VIII;0.365;РД-06-9/ 19.01.2012;
2.25;АБЛАНИЦА;с.АБЛАНИЦА;Ливада;VIII;4.636;РД-06-9/ 19.01.2012;
2.26;АБЛАНИЦА;с.АБЛАНИЦА;Ливада;VIII;1.323;РД-06-9/ 19.01.2012;
2.27;АБЛАНИЦА;с.АБЛАНИЦА;Ливада;VIII;3.307;РД-06-9/ 19.01.2012;
2.29;АБЛАНИЦА;с.АБЛАНИЦА;Ливада;VIII;2.528;РД-06-9/ 19.01.2012;
2.30;АБЛАНИЦА;с.АБЛАНИЦА;Пасище;VIII;0.932;РД-06-9/ 19.01.2012;
